,accuracy,precision,recall,f1,mcc,roc_auc,train_time_s
Random Forest,0.982774656121532,0.9828416284048196,0.982774656121532,0.9827342630989936,0.963030658096263,0.9967558519668014,11.9
SVM (Linear),0.9635539901577171,0.9635884949934092,0.9635539901577171,0.9635572919810768,0.9218492827920816,0.9910695536015257,80.4
k-NN,0.9269090871300298,0.935949768339819,0.9269090871300298,0.9278423155953934,0.8554692030370109,0.9521839061043271,14.3
Naive Bayes,0.7818581996617822,0.8502280961570806,0.7818581996617822,0.7844834074247778,0.626692021166266,0.8598524936909907,0.1
MLP (Neural Net),0.9826417216211819,0.9826826240242463,0.9826417216211819,0.982609397369058,0.9627338239263536,0.9961178809168789,26.4
XGBoost,0.9794492814638185,0.9795091441067406,0.9794492814638185,0.9794046508952114,0.9558798152976019,0.9966618052118035,4.3
